,Close_SPOT,Close_SIRI,SPOT_Norm,SIRI_Norm
2024-11-13,467.37,26.5,100.0,100.0
2024-11-14,477.5,27.03,102.16744763249675,102.0
2024-11-15,458.32,25.8,98.06363266790765,97.35849056603773
2024-11-18,454.36,25.12,97.21633823309156,94.79245283018868
2024-11-19,463.83,25.17,99.24257012645226,94.9811320754717
2024-11-20,470.01,25.21,100.56486295654406,95.13207547169812
2024-11-21,470.7,25.77,100.71249759291354,97.24528301886792
2024-11-22,475.04,26.22,101.6410980593534,98.94339622641509
2024-11-25,481.38,26.7,102.99762500802363,100.75471698113208
2024-11-26,476.61,26.32,101.97702034790423,99.32075471698113
2024-11-27,475.24,26.62,101.68389070757644,100.45283018867926
2024-11-29,476.96,26.95,102.05190748229454,101.69811320754715
2024-12-02,480.27,27.51,102.76012581038576,103.811320754717
2024-12-03,493.32,27.35,105.55234610693883,103.20754716981133
2024-12-04,502.38,27.78,107.49085307144233,104.8301886792453
2024-12-05,493.51,27.07,105.59299912275071,102.15094339622641
2024-12-06,498.63,28.31,106.68849091726041,106.83018867924528
2024-12-09,482.52,28.74,103.24154310289492,108.45283018867924
2024-12-10,471.58,25.22,100.9007852450949,95.16981132075472
2024-12-11,476.91,25.515,102.04120932023879,96.28301886792453
2024-12-12,480.11,24.81,102.72589169180735,93.62264150943396
2024-12-13,483.31,24.11,103.4105740633759,90.98113207547169
2024-12-16,484.9,22.64,103.75077561674904,85.43396226415095
2024-12-17,474.37,22.34,101.49774268780622,84.30188679245283
2024-12-18,448.65,21.51,95.99460812632388,81.16981132075473
2024-12-19,454.16,20.58,97.17354558486852,77.66037735849056
2024-12-20,460.88,23.08,98.6113785651625,87.0943396226415
2024-12-23,456.29,23.26,97.62928728844385,87.77358490566039
2024-12-24,461.64,23.4,98.77399062841003,88.30188679245282
2024-12-26,457.98,23.44,97.9908851659285,88.45283018867926
2024-12-27,456.48,23.13,97.66994030425573,87.28301886792453
2024-12-30,451.79,22.8,96.66645270342555,86.0377358490566
2024-12-31,447.38,22.8,95.72287481010761,86.0377358490566
2025-01-02,457.79,22.1,97.9502321501166,83.39622641509435
2025-01-03,466.69,22.36,99.85450499604168,84.37735849056604
2025-01-06,468.93,23.13,100.33378265613968,87.28301886792453
2025-01-07,463.93,23.1,99.26396645056379,87.16981132075472
2025-01-08,479.73,21.55,102.64458566018358,81.32075471698114
2025-01-10,459.53,20.825,98.322528189657,78.58490566037736
2025-01-13,458.54,20.9,98.110704580953,78.86792452830188
2025-01-14,463.59,21.31,99.19121894858462,80.41509433962264
2025-01-15,490.69,21.56,104.9896227828059,81.35849056603773
2025-01-16,490.34,21.93,104.9147356484156,82.75471698113208
2025-01-17,485.53,22.27,103.8855724586516,84.0377358490566
2025-01-21,487.51,22.19,104.30921967605964,83.73584905660378
2025-01-22,493.56,22.1,105.60369728480647,83.39622641509435
2025-01-23,501.5,22.13,107.30256541926097,83.50943396226414
2025-01-24,510.43,21.96,109.2132571624195,82.8679245283019
2025-01-27,513.98,21.89,109.97282666837837,82.60377358490565
2025-01-28,530.8,22.06,113.57168838393564,83.24528301886792
2025-01-29,538.83,21.84,115.28981321009051,82.41509433962264
2025-01-30,550.13,23.11,117.707597834692,87.20754716981132
2025-01-31,548.55,24.01,117.36953591373,90.60377358490567
2025-02-03,549.08,24.0,117.48293643152108,90.56603773584906
2025-02-04,621.77,24.62,133.03592442818325,92.90566037735849
2025-02-05,626.0,25.79,133.94098893810042,97.32075471698113
2025-02-06,625.87,25.91,133.91317371675547,97.77358490566039
2025-02-07,622.99,25.44,133.29695958234376,96.00000000000001
2025-02-10,637.69,25.855,136.44221922673685,97.56603773584905
2025-02-11,623.15,25.94,133.33119370092217,97.88679245283019
2025-02-12,640.59,25.81,137.06271262597087,97.39622641509433
